Date,Time,Method,ExecutionTime(ms),Speedup
2025-04-19,15:18:04,sequential,167,1,00
2025-04-19,15:18:05,parallel-1,398,0,42
2025-04-19,15:18:05,parallel-2,299,0,56
2025-04-19,15:18:05,parallel-4,331,0,50
2025-04-19,15:18:05,parallel-8,296,0,56
2025-04-19,15:18:06,parallel-16,300,0,56
2025-04-19,15:18:07,gpu,1376,0,12
Date,Time,Method,ExecutionTime(ms),Speedup
2025-04-19,15:19:44,sequential,9728,1,00
2025-04-19,15:20:15,parallel-1,30935,0,31
2025-04-19,15:20:46,parallel-2,30459,0,32
Date,Time,Method,ExecutionTime(ms),Speedup
2025-04-19,15:21:15,sequential,429,1,00
2025-04-19,15:21:15,parallel-1,475,0,90
2025-04-19,15:21:16,parallel-2,422,1,02
2025-04-19,15:21:16,parallel-4,348,1,23
2025-04-19,15:21:17,parallel-8,329,1,30
2025-04-19,15:21:17,parallel-16,318,1,35
2025-04-19,15:21:18,gpu,703,0,61
Date,Time,Method,ExecutionTime(ms),Speedup
2025-04-19,15:25:03,sequential,7,1,00
2025-04-19,15:25:03,parallel-1,9,0,78
2025-04-19,15:25:03,parallel-2,3,2,33
2025-04-19,15:25:03,parallel-4,3,2,33
2025-04-19,15:25:03,parallel-8,3,2,33
2025-04-19,15:25:03,parallel-16,2,3,50
2025-04-19,15:25:03,gpu,231,0,03
Date,Time,Method,ExecutionTime(ms),Speedup
2025-04-19,15:26:55,sequential,87169,1,00
2025-04-19,15:28:56,parallel-1,120500,0,72
2025-04-19,15:29:55,parallel-2,59598,1,46
2025-04-19,15:31:27,parallel-4,91801,0,95
2025-04-19,15:32:42,parallel-8,74977,1,16
2025-04-19,15:33:43,parallel-16,60800,1,43
